Mot;Occurrence
www;6
seriessub;4
com;4
sub;4
way;4
fr;4
tr;3
chocolate;5
jack;45
the;3
subber;3
s;42
team;5
aspirat;3
baje;3
blek;3
l;256
andouille;3
besmel;2
kiry;3
khillaree;3
lostherion;3
olaola;3
ricorod;3
voilà;14
joe;18
ravi;3
de;369
vous;253
voir;19
très;11
heureux;2
commissaire;6
comment;17
allez;15
et;169
pourquoi;16
les;148
hommes;4
comme;40
sont;16
le;289
futur;1
la;196
police;16
britannique;1
si;41
ce;90
n;101
est;316
pas;198
pression;4
reculez;1
ne;80
venez;6
plus;47
près;9
écoutez;5
êtes;17
avertis;1
je;234
répèterai;1
d;108
idées;1
audacieuses;1
dans;63
communautés;1
pour;81
assurer;1
bonnes;1
pratiques;1
nos;2
réseaux;1
management;1
il;275
faut;14
que;129
sanctions;1
soient;2
bien;48
délivrées;1
aux;15
tiers;2
y;72
a;229
ans;14
on;160
appelait;4
encore;17
des;100
criminels;1
excusez;6
moi;41
bonsoir;2
à;205
demain;5
mon;38
dieu;13
te;11
tiens;2
chérie;2
tout;41
va;32
se;30
passer;4
agent;2
bousfield;10
central;1
me;27
recevez;1
i;225
reçoit;1
mary;39
toi;8
demande;5
renforts;1
immédiat;1
ambulance;2
ancienne;1
école;3
publique;1
sur;58
commercial;1
street;9
seigneur;2
miséricordieux;1
fitz;8
café;2
sans;15
sucre;1
deux;11
sachets;2
skip;7
merci;34
hab;1
mccormack;9
gens;2
meurent;1
ces;19
heures;4
t;27
as;12
ton;7
propre;5
cacaccino;1
hein;6
kent;16
bon;27
alors;30
quoi;26
combis;1
bottes;1
gars;6
avez;29
impressionnés;1
paris;1
courent;1
serez;4
c;160
généreux;1
planifié;1
oui;30
monsieur;16
formalités;1
voulait;5
votre;35
père;4
serait;4
fier;1
une;140
femme;20
tuée;10
whitechapel;11
par;33
un;237
proche;3
inspecteur;14
rude;1
brigade;1
prends;5
prêt;5
1er;3
meurtre;37
absolument;2
garçon;2
après;10
cette;16
formalité;1
pourra;2
faire;18
avancer;1
sortir;1
tranchées;1
vraie;2
place;4
au;51
qg;2
sais;15
dire;10
génial;3
anderson;1
envoie;2
nouvel;2
vu;19
qu;93
sait;13
fait;40
jeune;4
loup;2
j;90
avais;6
su;2
aurais;3
vol;1
vent;1
annonce;1
autres;10
ça;92
classe;1
chandler;9
sergent;6
miles;16
habiller;1
ici;30
nom;11
victime;14
cathy;10
lane;8
mère;7
trois;4
enfants;4
séparée;3
son;66
compagnon;1
trouvée;3
vers;7
2h;2
du;69
matin;4
policier;4
quartier;4
était;46
vivante;2
mais;62
temps;19
secours;1
arrivent;1
elle;61
morte;14
qui;59
identifiée;1
nous;37
tous;19
allons;7
déjà;8
bossé;2
scène;5
suis;27
bleu;4
en;113
ai;73
eu;11
ma;25
part;3
être;43
rigolade;1
traces;3
pisse;3
salut;6
ray;3
arrête;3
pareil;1
cadavre;3
entre;5
bonjour;6
voyez;11
coupures;3
sa;32
gorge;2
côté;11
première;5
incision;1
2nd;2
coupure;2
ferme;3
tour;4
celle;2
ci;2
profonde;2
dirait;4
jusqu;9
vertèbres;2
voulez;8
jeter;2
coup;6
oeil;4
non;54
ira;3
peu;11
sang;8
semble;2
pensez;4
été;34
jetée;1
là;30
imprégné;1
ses;34
vêtements;3
trempée;1
intéressant;1
lutte;2
davantage;1
autre;17
avec;46
petites;1
hémorragies;1
pétéchiales;1
autour;2
yeux;12
suggérant;1
asphyxie;1
crois;11
abord;2
étranglée;1
puis;12
déposée;1
juste;9
avis;2
instantané;1
basé;2
blessures;3
évidentes;1
patience;2
plan;1
zone;3
fitzgerald;1
occupent;1
témoins;7
homme;22
grand;6
couteau;13
manteau;4
sombre;3
environ;2
m;33
distingué;1
miteux;1
drôle;5
chapeau;9
inhabituel;1
rabats;4
visage;14
désolée;2
policiers;3
censés;1
pleurer;2
pleure;1
tu;30
devrais;1
couler;1
mascara;1
laissons;1
emmener;1
hôpital;6
battue;1
depuis;8
cesse;2
battre;2
pension;2
payait;1
rien;30
voyait;1
trop;6
alcool;2
énormes;2
disputes;1
arrêtait;1
enfermer;1
dégrisement;2
nuit;16
fois;15
planté;1
économe;1
tête;7
bang;1
savais;3
finirait;1
mec;2
rob;14
lees;12
boucher;1
bosse;1
grands;1
couteaux;1
parler;10
bureau;4
où;36
aller;10
voici;6
charmant;1
peut;30
plaît;6
jim;1
nouveau;6
mets;1
mal;4
patron;4
aider;5
portable;3
coupé;3
décroche;1
chez;10
lui;33
pris;4
fourré;2
porte;8
trucs;3
russes;1
laine;1
surveillez;1
appartement;1
trouver;10
envoyer;3
quelqu;9
effet;3
devrait;4
avant;15
loin;4
clarifier;1
chargé;2
enquête;17
montre;3
ficelles;1
fiston;1
attendais;1
bienvenue;1
enfer;1
gentlemen;1
pense;15
tueur;33
agenouillée;1
tenue;2
main;6
gauche;10
égorgée;9
droite;5
atteint;1
déchirures;1
jupe;2
devait;4
remontée;1
baissé;1
pensait;2
avait;25
