Mot,Occurrence
i,3440
a,3104
you,2554
the,2334
de,2287
s,2036
to,1786
je,1772
est,1658
pas,1411
on,1354
le,1336
t,1317
it,1224
que,1214
il,1206
vous,1192
un,1189
la,1151
and,1122
that,1104
et,1092
à,1092
l,1024
c,939
me,932
d,911
of,873
in,867
he,856
was,835
tu,822
ne,784
une,774
pour,754
j,742
we,724
en,714
m,709
ce,692
n,676
is,672
les,657
ça,655
qu,646
ai,609
elle,593
this,570
she,552
what,538
for,520
not,492
her,489
my,485
no,477
have,474
know,467
était,448
des,427
your,427
with,421
dans,420
re,410
so,390
du,377
him,374
don,367
qui,365
sur,358
but,355
mais,354
about,349
do,344
just,340
si,340
be,336
they,335
y,334
son,333
his,327
avec,325
can,318
non,314
at,310
all,302
as,302
out,297
if,295
get,292
être,291
are,291
au,285
oh,283
uh,279
moi,279
tout,278
there,276
okay,269
mon,268
suis,256
lui,256
fait,255
right,254
tom,252
yeah,251
lindsay,251
up,249
like,248
ils,248
bien,247
plus,246
one,239
go,235
got,231
well,229
ll,227
nous,226
here,224
didn,223
dit,219
hey,219
how,215
when,214
from,213
did,211
had,207
avez,204
were,204
think,203
gonna,199
ouais,197
avait,192
ok,191
votre,190
se,190
faire,190
quand,190
want,189
comme,188
là,187
sais,185
quoi,185
joe,184
who,184
peut,183
why,183
te,183
back,181
va,177
sa,177
an,176
rien,175
ve,163
ont,162
now,160
alors,159
dire,158
pourquoi,157
good,157
or,154
tell,152
ma,149
see,147
need,147
let,146
come,146
some,145
où,142
would,141
chose,139
été,137
boxer,137
could,134
been,131
peux,131
guy,130
cette,129
where,127
look,126
sont,125
quelqu,125
ou,125
juste,125
veux,125
par,124
avoir,123
down,123
jacobi,122
time,122
comment,122
ton,121
our,119
vais,119
deux,117
voir,115
beth,114
off,113
said,113
over,113
toi,113
même,111
talk,110
take,109
then,109
es,108
anything,107
bon,106
vraiment,106
us,106
way,106
font,106
two,106
them,105
merci,104
quelque,104
because,104
ses,103
encore,103
night,102
parler,100
really,100
pense,99
has,98
last,97
too,97
autre,95
ces,94
parce,94
police,94
say,94
more,93
femme,93
ben,93
ans,92
killer,92
glenn,91
êtes,91
maybe,91
case,91
something,90
personne,90
by,90
going,89
will,89
mort,88
never,88
thing,88
maintenant,87
besoin,87
père,87
should,87
jamais,87
après,86
claire,86
any,86
find,86
cooper,86
theresa,86
peu,86
their,85
javier,85
sure,84
make,84
sorry,84
ici,84
mean,84
oui,84
people,83
heather,83
man,83
temps,83
even,83
eu,82
vu,82
am,82
très,82
baby,82
notre,81
fois,81
kate,81
san,80
aussi,79
billy,79
dois,79
found,79
little,78
still,78
type,78
leur,77
étais,77
murder,77
donc,76
only,75
toujours,75
wasn,75
avant,74
trouvé,74
cindy,74
call,74
work,73
soit,73
nothing,73
help,72
tué,72
bébé,72
wanted,72
into,72
affaire,72
before,70
years,70
crime,70
jill,70
veut,70
silas,70
vie,69
after,69
um,69
gun,68
aller,68
doesn,68
parents,67
avais,67
other,67
maison,66
car,66
home,66
much,66
old,65
fais,65
doing,64
yes,64
kill,64
sans,64
dead,64
inspecteur,64
tous,64
nuit,63
lot,63
colin,63
wife,63
linz,62
around,62
job,62
francisco,62
killed,62
jay,62
mes,61
stop,61
emily,61
inspector,61
god,60
put,60
keep,60
name,60
kiss,60
give,60
fille,60
day,60
ago,59
told,59
first,59
came,58
trying,58
accord,57
allez,57
voiture,57
ex,57
minutes,57
galvan,56
those,56
life,56
cas,56
ask,56
luke,56
husband,56
left,56
part,56
went,56
thank,56
sous,56
mr,56
désolée,56
someone,55
dis,55
club,55
these,55
mari,55
girl,55
mccarthy,54
jamie,54
bonne,54
wait,54
arme,54
father,54
savez,53
quelques,53
talking,53
enough,53
which,53
alexis,53
aux,53
please,53
thought,53
depuis,52
cause,52
meurtre,52
than,52
chez,52
moment,52
three,51
always,51
mère,51
thanks,50
knew,50
voulais,50
drug,50
tueur,50
isela,49
quel,49
happened,49
hé,49
savoir,49
bureau,49
passé,49
dieu,49
tuer,49
ca,48
looking,48
place,48
aime,48
déjà,48
travail,48
fine,48
ta,48
head,48
tracy,47
www,47
pu,47
aurait,47
mariage,47
away,47
ethan,47
trop,47
walton,47
sait,47
voulait,46
entre,46
chance,46
isn,46
color,46
guys,46
harris,46
hi,46
lieutenant,46
cop,46
remember,45
better,45
toute,45
nice,45
somebody,45
used,45
fbi,45
house,45
things,45
office,45
very,45
love,44
pris,44
autres,44
tête,44
sang,44
took,44
kind,44
made,44
denise,44
mal,44
saw,43
parle,43
anyone,43
body,43
nivaldo,43
petit,43
point,43
hammond,43
heard,43
moins,43
soir,43
blood,43
whole,43
doit,43
friend,42
called,42
great,42
dessus,42
homme,42
again,42
long,42
com,42
ami,42
fils,41
e,41
edna,41
bad,41
monde,41
dad,41
everything,41
voilà,41
actually,40
through,40
date,40
choses,40
another,40
woman,40
boulot,40
trouver,40
flic,40
nom,40
assez,40
argent,40
maurice,40
corinne,40
super,39
hear,39
aurais,39
welling,39
corps,39
getting,39
couldn,39
together,39
reece,39
meet,39
paul,39
victim,39
met,39
gens,39
yet,39
being,38
questions,38
new,38
prendre,38
truc,38
ensemble,38
else,38
voulez,38
faut,38
vrai,38
aucun,38
problème,38
kid,38
leave,38
drogue,38
parlé,38
today,37
viens,37
does,37
