Mot;Occurrence
ok;190
je;1772
vous;1192
explique;6
donne;13
un;1189
dollar;1
j;741
ai;609
juste;125
besoin;87
de;2285
centimes;2
achetez;1
quelque;104
chose;136
votre;190
monnaie;2
est;1656
passez;2
une;774
bonne;54
journée;20
avez;204
message;12
sauvegardé;1
pour;754
entendre;10
vos;33
messages;2
sauvegardés;1
tapez;1
attendez;14
c;927
bon;106
lindsay;107
ici;84
theresa;30
woo;7
esperais;1
que;1210
l;1022
on;726
puisse;9
se;188
rencontrer;8
devant;17
le;1336
kiosque;3
à;1092
journaux;3
sur;358
la;1144
3e;4
rue;23
8h00;2
sais;185
nous;226
sommes;26
pas;1411
vraiment;106
amies;18
mais;354
important;16
merci;104
a;1271
bientôt;8
suis;256
où;142
êtes;91
en;712
ce;692
moment;38
dans;420
ma;137
cuisine;9
train;14
préparer;3
mon;268
café;23
tom;124
tu;821
reconnais;3
encore;103
voix;13
été;137
marié;6
fois;81
linz;23
ça;655
va;177
vient;31
tomber;17
voiture;57
women;4
s;323
murder;4
club;29
1x01;1
welcome;1
to;1
the;3
transcript;16
ragbear;4
traduction;4
resynchro;1
relecture;1
angelien;1
babamania;1
coke;1
doodle;1
doo;1
marie1003;1
veux;125
savoir;49
si;339
les;656
éclaboussures;3
sang;44
sont;125
dues;1
au;285
choc;3
ou;125
son;290
saut;2
empreintes;10
chaussures;4
prenez;8
avant;74
vent;1
charge;4
tout;277
suite;10
inspecteur;64
bienvenue;2
jour;35
congé;1
comme;188
saviez;16
quoi;185
faire;190
temps;83
libre;8
information;4
avais;67
des;427
projets;2
allais;17
aller;68
courir;5
et;1092
après;86
aurais;39
nettoyé;1
appartement;23
ferme;9
préféré;3
retrouver;9
journaliste;8
regardez;12
trouvé;74
trouvée;12
will;1
dis;55
leur;77
medecin;1
légiste;3
veut;70
dépanneuse;1
vais;119
devoir;14
emmener;9
bazar;4
salut;34
sammy;1
substitut;5
du;374
procureur;24
bernhardt;15
triste;10
san;41
francisco;34
boxer;66
m;248
dit;219
pourrais;23
avoir;123
ouais;197
manquer;4
suspects;7
dieu;49
bénisse;1
démoli;2
dénoncé;1
moitié;9
sexe;6
corruption;2
dépravation;1
elle;593
gagné;1
pulitzers;1
register;14
durant;2
dernières;11
années;17
attends;28
peu;86
te;183
tenais;3
là;187
crash;2
euh;23
étais;77
pile;5
parler;100
il;1206
appelé;34
t;234
qu;646
as;174
rappelé;4
tombée;7
pourquoi;157
appelerait;1
fête;9
anniversaire;7
nos;31
ans;92
divorce;3
dimanche;4
peut;183
être;291
était;448
par;124
nostalgie;1
lui;256
manques;2
essaye;30
comprendre;15
maintenant;87
théresa;1
disait;16
donc;76
faisait;23
toit;2
sure;4
n;649
suivie;2
hyper;1
secrète;1
question;17
qui;365
terrifiait;2
point;30
assez;40
désespérée;1
appeler;21
devrait;23
commencer;8
ceux;16
dénoncés;1
quelqu;125
furieux;6
poursuivre;6
justice;10
tuer;49
essaierai;1
y;318
affaire;72
cours;16
rejoins;2
morgue;7
esperons;1
réussi;4
prendre;38
d;662
adn;16
ses;103
amants;1
jacobi;54
voir;115
vas;34
rappeler;8
évidemment;2
carnet;3
adresses;3
cul;6
sac;17
non;313
quelques;53
reçus;1
factures;2
payées;2
surtout;10
propos;23
chien;33
commence;9
appellé;1
avait;192
personne;90
autre;95
cette;129
femme;93
obsédée;4
travail;48
même;111
contacter;6
cas;56
urgence;5
moins;43
amis;14
humains;2
allez;57
me;296
savez;53
quand;190
aurez;5
promotion;3
brillant;2
nouveau;28
partenaire;16
jeune;13
beau;10
avec;325
bons;4
genoux;1
poste;8
lieutenant;24
assurerais;1
soyez;6
toujours;75
contact;10
moi;279
depuis;52
bureau;46
chef;18
aucun;38
signe;19
laisse;25
supposer;2
présence;3
ordinateur;8
vielle;1
école;9
main;18
portant;2
gauche;5
droite;7
ces;94
vieux;10
carnets;6
ils;248
amené;2
rendez;11
seront;5
mettons;3
voiles;1
révélations;1
journalistiques;1
avaler;4
oh;116
aime;48
bien;247
appelez;4
spa;9
ballade;1
peux;131
mange;4
preuves;8
jill;31
clé;4
cela;7
dire;158
emmenager;2
ensemble;38
gros;13
noeuds;1
amoureux;6
heureux;6
coucher;4
aussi;79
décidé;8
ne;783
passerait;1
viens;37
signer;8
bail;2
proprio;2
donné;31
jeux;2
clés;6
garde;17
hopital;8
pendant;33
24h;3
enfreins;1
règles;7
donner;24
boss;1
plus;237
raisons;8
haïr;2
décide;2
venir;30
détesterait;1
absolument;8
absolumment;2
claire;41
oups;1
hé;49
laisser;27
pression;4
emmenage;1
bye;8
