Mot;Occurrence
font;87
color;46
4096d1;34
¾;9
öä;26
½ö¹;9
ñ;9
ï;10
½;9
á;9
ñï½ûóãóúéìòµóãí¾;9
http;17
www;25
ragbear;17
com;25
æ;1
ãû;1
µún¼¾µún¼;1
okay;259
here;224
s;1713
the;2331
thing;88
i;3173
ll;227
give;60
you;2554
dollar;1
just;340
need;147
a;1833
quarter;2
buy;11
something;90
cents;2
is;672
your;427
change;15
have;474
nice;45
day;60
one;239
saved;10
message;13
to;1785
hear;39
messages;3
press;22
wait;54
got;231
it;1223
lindsay;144
theresa;56
woo;10
was;835
hoping;10
could;134
meet;39
me;636
3rd;2
street;23
newsstand;3
m;461
know;467
we;724
re;410
not;467
exactly;18
friends;30
but;353
important;12
thanks;50
see;147
in;866
morning;33
where;127
are;291
man;79
chuckles;8
at;309
moment;14
my;485
kitchen;7
making;15
coffee;23
tom;128
still;78
recognize;8
voice;16
were;204
married;32
once;37
linz;39
fell;4
on;628
car;57
wanna;5
if;295
blood;43
spatter;1
impact;1
or;154
cast;1
off;113
shoe;8
prints;5
get;292
em;32
before;70
wind;2
does;37
detective;7
welcome;4
our;119
yeah;251
like;248
d;249
what;538
do;344
with;421
few;37
free;18
hours;33
for;520
information;25
had;207
plans;6
gonna;199
go;229
runand;1
clean;25
apartment;32
shut;17
up;247
so;390
instead;4
decided;6
reporter;10
and;1121
look;126
her;489
will;88
tell;152
dispatch;1
medical;11
examiner;4
wants;36
tow;1
truck;4
haul;1
whole;43
kit;5
caboodle;1
hi;45
sammy;1
deputy;4
bernhardt;15
really;100
sad;10
san;39
francisco;28
inspector;61
boxer;71
said;113
might;34
this;570
ah;10
be;336
loss;3
suspects;8
god;60
bless;1
bashed;1
exposed;2
half;31
of;873
sex;16
corruption;2
sexual;2
she;552
won;28
six;16
pulitzers;1
register;17
past;13
ten;21
years;70
minute;21
standing;4
there;276
crash;2
uh;277
that;1104
exact;7
talking;53
he;856
called;42
did;211
say;94
him;374
back;181
why;183
would;141
call;74
year;32
divorce;3
anniversary;5
sunday;3
maybe;91
nostalgia;1
misses;1
trying;58
figure;13
out;296
front;15
roof;2
make;84
sure;80
wasn;75
t;1083
followed;7
super;8
secretive;1
question;18
who;184
afraid;11
desperate;4
enough;53
obvious;1
place;38
start;32
subjects;1
exposes;2
anyone;43
mad;31
take;109
court;17
they;335
kill;64
find;86
any;86
pending;2
litigation;1
morgue;7
hopefully;2
managed;5
pick;14
some;145
n;27
evidence;20
forth;2
grab;7
jacobi;68
anything;107
turns;8
totally;16
address;12
book;6
dead;64
end;27
well;229
no;473
receipts;1
paid;9
bills;2
mostly;6
dog;35
related;3
starting;8
didn;223
else;38
woman;40
obsessed;6
job;53
doesn;68
even;83
an;162
case;91
emergency;5
contact;13
least;29
couple;25
human;6
going;89
miss;19
when;214
promotion;2
shiny;2
new;38
partner;23
young;17
handsome;3
two;106
good;156
knees;1
lieutenant;22
spot;4
plenty;5
from;213
behind;22
boss;20
desk;15
isn;46
sign;21
computer;10
old;65
school;11
everything;41
by;90
hand;21
always;51
carryinaround;1
those;56
ratty;1
notebooks;8
bring;27
meeting;5
office;41
let;146
hit;31
road;5
newspaper;2
weed;1
through;40
oh;167
hell;29
likes;12
pound;1
little;78
stroll;1
can;318
into;72
eats;1
come;146
jill;39
key;12
moving;14
worms;1
love;44
happy;22
lots;5
ooh;10
too;97
decide;8
weren;20
signed;11
lease;1
landlord;2
gave;32
sets;3
keys;4
hour;22
shift;5
hospital;23
broke;12
