Mot,Occurrence
i,41171
you,25304
a,25283
the,24800
to,18379
s,18021
de,17552
est,15495
vous,14702
je,13618
it,13128
that,11260
on,11114
t,11103
le,11018
pas,10196
la,10107
l,10065
il,9981
que,9806
un,9343
of,9142
what,8700
in,8498
and,8405
à,8312
me,8046
d,7667
c,7583
this,7520
is,7467
m,7288
he,7282
ne,6924
et,6763
ce,6589
les,6363
we,6264
mulder,5995
en,5989
qu,5803
was,5740
une,5680
n,5328
tu,5189
j,5100
des,5030
re,4650
ai,4519
for,4517
ça,4438
qui,4422
have,4384
no,4355
know,4111
here,4037
agent,3996
scully,3988
pour,3982
they,3979
not,3923
there,3912
your,3890
are,3856
don,3846
can,3789
but,3717
du,3713
be,3696
my,3495
do,3483
dans,3451
with,3441
mais,3359
y,3335
as,3278
nous,3113
all,3073
him,3026
just,3011
elle,2734
moi,2731
out,2731
about,2686
his,2524
at,2508
ll,2504
man,2495
si,2466
ils,2453
get,2445
she,2434
who,2430
ve,2377
au,2357
était,2333
right,2331
non,2290
think,2283
sur,2281
like,2264
from,2237
if,2236
avez,2230
être,2220
an,2191
how,2189
her,2169
up,2169
so,2102
tout,2093
got,2080
one,2048
suis,2040
son,2004
been,2000
fait,1956
did,1919
votre,1892
why,1859
now,1841
plus,1839
where,1829
où,1819
go,1812
peut,1811
mon,1801
were,1792
x2,1790
y2,1790
y1,1790
x1,1790
là,1728
well,1726
avec,1720
quoi,1682
or,1681
se,1655
see,1653
yeah,1650
ici,1615
want,1590
sont,1577
bien,1565
going,1564
par,1538
come,1533
ont,1531
va,1508
by,1506
pourquoi,1491
lui,1490
sais,1468
something,1440
rien,1428
oh,1428
would,1426
été,1425
dit,1422
comme,1418
oui,1413
some,1410
us,1410
cette,1392
faire,1350
comment,1347
could,1336
let,1335
them,1323
had,1310
tell,1293
back,1281
chose,1263
down,1228
êtes,1219
te,1212
when,1185
ces,1170
these,1145
look,1136
sa,1134
gonna,1112
any,1110
ou,1103
has,1103
time,1099
ii,1083
vu,1076
then,1069
didn,1066
dr,1061
homme,1052
uh,1042
même,1034
need,1018
say,1005
ma,1004
only,994
dire,989
our,975
will,962
yes,954
find,951
take,950
found,938
okay,935
way,921
over,914
fbi,907
toi,902
peux,889
more,887
people,887
avait,887
voir,886
doggett,883
help,879
maybe,877
veux,877
good,875
believe,874
mort,863
said,852
quelque,829
mean,818
quand,810
doing,806
make,789
avoir,789
because,783
sir,780
door,779
into,773
anything,765
two,765
crois,759
never,757
deux,750
hey,750
sure,744
off,741
happened,736
god,735
autre,734
ca,732
even,722
mr,722
their,722
those,717
allez,713
car,700
too,699
life,696
vais,691
ses,687
dead,684
vie,684
may,683
name,676
ie,674
es,672
aussi,667
ia,651
tous,648
alors,647
sorry,646
phone,644
before,642
body,641
saw,637
trouvé,637
corps,635
ans,634
please,633
last,632
thing,632
skinner,632
call,629
après,629
police,626
leur,626
looking,625
f,624
work,622
très,618
quelqu,618
put,617
notre,617
dana,616
faut,614
case,611
which,610
woman,608
personne,606
told,604
than,602
nothing,600
b,597
jamais,593
cet,591
away,590
should,589
kind,588
night,586
men,585
sans,584
merci,584
through,580
aux,580
years,570
still,568
dieu,561
little,556
other,556
am,554
parler,554
killed,551
kill,546
encore,545
avant,545
ton,545
faites,544
eu,539
give,537
talk,536
tué,534
sous,531
really,528
does,522
much,521
came,512
made,508
hell,506
might,506
same,505
autres,504
depuis,502
place,502
cause,498
very,497
vos,496
fais,496
doesn,493
home,493
passé,490
déjà,482
stop,479
affaire,479
bon,479
savez,479
fox,476
ever,473
around,470
someone,469
after,469
temps,469
three,469
long,463
being,461
vérité,460
chez,460
first,459
mes,458
savoir,457
new,455
père,453
peur,451
question,448
aurait,445
étais,438
peu,437
tuer,437
seen,436
dois,434
trying,431
things,431
john,426
else,426
evidence,426
must,425
gens,425
voulez,423
ago,422
mal,419
somebody,418
called,418
understand,418
father,417
pu,417
nom,415
continues,415
thought,414
juste,414
avais,413
femme,410
coming,410
again,408
own,407
sang,407
