Mot;Occurrence
i;40669
came;512
in;8495
search;89
of;9142
something;1440
did;1919
not;3923
believe;874
existed;9
ve;2377
stayed;17
on;9905
now;1841
spite;11
myself;220
everything;390
ever;473
held;75
to;18379
be;3696
true;201
will;962
continue;116
here;4037
as;3036
long;459
can;3789
you;25304
are;3856
beset;1
by;1506
the;24800
haunting;3
illness;40
which;610
saw;637
consume;6
your;3890
beautiful;65
mind;270
what;8700
is;7467
this;7520
discovery;16
made;508
how;2189
reconcile;6
see;1653
with;3441
know;4111
feel;326
was;5740
meant;80
for;4517
me;7610
find;951
but;3697
make;789
sense;197
connections;25
t;10728
ignored;7
deny;33
all;3073
logic;6
and;8405
reason;255
source;84
power;152
hold;295
my;3495
hand;178
rubbing;10
simple;137
impression;73
taken;233
from;2237
surface;55
craft;29
watched;38
take;950
its;308
undeniable;10
succumb;1
spiraling;1
effect;58
must;425
work;622
uncover;9
prevents;3
finding;54
every;343
lies;65
cure;39
who;2430
s;17614
there;3912
he;7282
been;2000
quiet;41
last;632
hours;227
doesn;493
sleep;146
activity;60
temporal;15
lobe;21
we;6264
just;3011
never;757
seen;436
it;13128
won;365
allow;39
his;2524
brain;124
rest;115
or;1674
shut;162
down;1228
manifesting;2
episodes;3
aggression;4
sometimes;87
against;244
himself;189
sedate;6
him;3026
yes;954
slow;44
short;74
periods;3
put;615
neuro;5
ward;22
only;994
way;921
re;4617
able;239
run;225
tests;159
over;914
time;1099
going;1564
die;268
agent;3823
mulder;5790
hear;381
do;3482
am;554
skinner;594
walter;61
get;2445
out;2731
some;1410
fresh;31
air;354
at;2508
least;151
let;1335
go;1811
breathe;32
where;1829
don;3840
want;1590
hurt;174
come;1533
stay;244
mr;722
no;4355
right;2331
up;2169
five;241
milligrams;4
haloperidol;4
m;6770
point;297
restraints;2
sir;780
god;735
happened;736
they;3979
said;852
speak;179
english;37
sorry;646
wonder;50
amina;1
ngebe;1
have;4384
asked;210
that;11260
one;2048
told;604
about;2686
nor;56
well;1726
still;568
a;23442
secret;247
known;177
afraid;333
dr;1003
merkmallen;11
called;418
african;9
internet;45
knew;377
too;699
professor;35
biology;23
university;23
uh;1042
hardly;15
qualified;5
say;1005
gone;275
working;251
late;185
night;586
lamplight;1
man;2491
vanished;20
then;1069
swarmed;1
men;583
vanishing;7
none;92
why;1859
animists;1
believing;25
nature;159
vengeful;3
ll;2503
sign;104
leave;369
found;938
alone;250
bad;246
omen;6
caused;105
ship;120
mmm;49
