Mot;Occurrence;Mot_nettoye;Cluster
wow;84;wow;0
c;9890;c;0
était;3497;;0
euh;307;euh;0
ouais;825;ouai;0
stupéfiant;4;stupéfiant;0
et;9739;;0
une;7736;;0
énorme;38;énorme;0
erreur;84;erreur;0
enorme;2;enorme;0
pourquoi;1886;;0
on;5533;;0
continue;56;continuer;0
à;9193;;0
faire;1634;faire;0
ça;6713;;0
eh;467;;0
bien;2995;bien;0
tu;3460;;0
sais;1274;sai;0
pas;12280;;0
je;15093;;0
veux;908;veux;0
dire;1540;;0
l;10772;l;0
a;12270;;0
fait;2379;;0
quoi;2300;;0
deux;992;;0
fois;620;fois;0
année;81;année;0
passée;35;passer;0
trois;287;;0
quatre;104;;0
si;2892;;0
comptes;17;compte;0
cette;1454;;0
surveillance;25;surveillance;0
ce;7173;;0
n;5718;n;0
du;4448;;0
sexe;143;sexe;0
peut;1729;;0
être;2752;;0
pour;5879;;0
toi;559;;0
mais;3215;;0
en;6311;;0
est;17535;;0
as;800;;0
raison;406;raison;0
comme;2022;;0
faisait;155;faire;0
quelque;914;;0
chose;1211;chose;0
de;22291;;0
mal;425;mal;0
drew;16;drew;0
êtes;1399;ête;0
avait;1244;;0
besoin;765;besoin;0
pause;28;paus;0
gagner;45;gagner;0
perspective;7;perspective;0
ceci;143;;0
aide;179;aide;0
la;12787;;0
laquelle;90;;0
terminé;27;terminer;0
fini;209;finir;0
téléphone;101;téléphon;0
shh;7;shh;0
booth;1792;booth;0
adresse;49;adresse;0
oh;889;oh;0
non;3027;non;0
moi;2458;;0
aussi;868;;0
dois;505;devoir;0
passer;202;passer;0
prendre;318;prendre;0
parker;149;parker;0
école;123;école;0
assure;15;assurer;0
lui;1773;;0
amener;26;amener;0
bd;19;bd;0
que;11726;;0
ai;5195;;0
trouvée;86;trouvée;0
parce;873;;0
qu;5662;qu;0
il;10813;;0
adore;83;adorer;0
sûr;677;sûr;0
agent;651;agent;0
salut;158;salut;0
le;14550;;0
dr;1435;dr;0
brennan;1094;brennan;0
disponible;14;disponible;0
bones;1194;bone;0
qui;3977;;0
se;1773;;0
passe;261;passer;0
rien;1062;rien;0
juste;1214;;0
savoir;475;savoir;0
vous;17403;;0
aviez;189;avoir;0
reçu;65;recevoir;0
appel;67;appel;0
alliez;28;allier;0
venir;207;venir;0
me;2491;;0
ou;1193;;0
savez;1064;savoir;0
verrai;11;voir;0
plutôt;229;;0
là;1679;;0
bas;264;;0
ok;1299;ok;0
d;7477;d;0
accord;700;accord;0
bye;19;bye;0
ne;6732;;0
penses;85;pense;0
elle;3728;;0
pensé;154;pensé;0
nous;3169;;0
avons;504;;0
un;12531;;0
enfant;260;enfant;0
ensemble;331;ensemble;0
tout;2157;;0
normal;61;normal;0
cela;322;;0
allait;164;aller;0
reproduire;8;reproduir;0
encore;591;;0
exactement;219;;0
t;1693;t;0
avec;3346;;0
salle;96;salle;0
bain;29;bain;0
merci;912;;0
désolée;205;désolée;0
j;6153;j;0
interrompu;11;interrompre;0
avez;2857;avoir;0
devez;179;devoir;0
rebecca;45;rebecca;0
mon;2115;;0
ex;75;ex;0
s;3525;s;0
arrêtée;16;arrêter;0
chez;286;;0
récupérer;61;récupérer;0
avais;437;;0
décroché;5;décroché;0
plus;2371;;0
moins;366;;0
suis;2538;;0
dit;1816;;0
charmant;27;charmant;0
âge;138;âge;0
indéterminés;3;indéterminer;0
victime;900;victime;0
plongée;7;plonger;0
dans;4175;;0
sent;81;;0
composé;12;composer;0
produits;47;produit;0
corrosifs;12;corrosif;0
domestiques;10;domestique;0
déboucheur;6;déboucheur;0
égoût;3;égoût;0
acide;39;acide;0
javel;12;javel;0
immergée;3;immergé;0
depuis;497;;0
jours;263;jour;0
très;1298;;0
train;206;train;0
été;2040;être;0
week;61;week;0
end;61;end;0
dissoudre;7;dissoudre;0
accordant;4;accorder;0
au;2670;;0
tueur;212;tueur;0
assez;345;;0
temps;685;temps;0
les;8482;;0
fassent;6;faire;0
leur;482;;0
boulot;221;boulot;0
excusez;164;excuser;0
puis;292;;0
entrer;75;entrer;0
ici;1193;ici;0
plaît;231;plaît;0
pete;77;pete;0
valero;5;valero;0
entrepreneur;12;entrepreneur;0
bâtiment;45;bâtiment;0
venu;133;venir;0
dès;77;;0
pourrait;468;;0
y;3188;;0
avoir;1117;;0
des;6031;;0
preuves;264;preuve;0
dedans;132;;0
dirais;89;dirai;0
grande;112;grand;0
partie;307;partie;0
vais;833;;0
zack;522;zack;0
m;2551;m;0
aider;328;aider;0
extraire;19;extrair;0
restes;257;rester;0
trouve;198;trouve;0
sous;493;;0
surface;66;surface;0
serait;342;;0
simple;102;simple;0
simplement;160;simplement;0
baignoire;49;baignoir;0
attendez;331;attendre;0
godiva;5;godiva;0
ces;1260;;0
choses;305;chose;0
sont;1727;;0
bon;882;bon;0
marché;95;marché;0
pensez;404;penser;0
quelqu;831;quelqu;0
va;1263;;0
vouloir;91;vouloir;0
après;735;;0
comment;1076;;0
pourraient;62;pouvoir;0
ils;1984;;0
ecoutez;117;ecouter;0
dis;271;dire;0
logement;3;logement;0
subventionné;3;subventionner;0
gouvernement;53;gouvernement;0
veut;539;vouloir;0
chaque;244;;0
pièce;109;pièce;0
cinq;116;;0
cents;12;cent;0
soit;466;;0
justifiée;3;justifier;0
obtiendrai;9;obtiendrai;0
vos;569;;0
reçus;18;recevoir;0
pouvez;519;pouvoir;0
patron;61;patron;0
apparaît;22;apparaître;0
maintenant;546;;0
étais;478;;0
dentiste;27;dentist;0
milieu;59;milieu;0
canal;11;canal;0
radiculaire;6;radiculaire;0
pouvait;116;;0
mieux;371;mieux;0
saurais;12;savoir;0
ouvriers;10;ouvrier;0
sur;3319;;0
seul;277;;0
site;76;site;0
sans;621;;0
mentionner;11;mentionner;0
tous;869;;0
gamins;43;gamin;0
vandales;3;vandale;0
venant;35;venir;0
par;1644;;0
dieu;425;dieu;0
seigneur;79;seigneur;0
dehors;137;;0
seulement;244;;0
peau;71;peau;0
fenêtre;37;fenêtre;0
monte;70;monte;0
charge;36;charge;0
plateau;21;plateau;0
voulons;26;voulon;0
réponses;36;réponse;0
vient;236;venir;0
the;2144;the;0
tick;31;tick;0
tock;31;tock;0
team;154;team;0
callie;29;callie;0
normajean;20;normajean;0
chba13;23;;0
alspring;25;alspring;0
présente;46;présente;0
episode;18;episode;0
2x05;2;;0
truth;14;truth;0
in;617;in;0
lye;2;lye;0
www;42;www;0
forom;18;forom;0
com;74;com;0
descendez;7;descendre;0
doucement;70;doucement;0
continuez;46;continuer;0
waouh;11;waouh;0
sympa;54;sympa;0
devrais;171;devrai;0
ma;1042;;0
caméra;34;caméra;0
