Mots,Occurrence
traduction,1
tyno,2
kevin,1
synchro,1
michvanilly,1
www,2
forom,1
com,1
sub,1
way,1
fr,1
c,42
est,66
quoi,15
ce,44
truc,3
bleu,3
on,43
a,36
suivi,1
un,43
autre,5
procédé,1
chimique,2
mais,16
tout,10
aussi,3
pur,1
peut,12
être,14
de,77
la,51
bombe,1
cool,3
ouais,2
jaune,1
rose,1
je,64
m,20
en,34
fous,2
mec,3
continue,1
apporter,1
ça,53
génial,1
va,9
se,10
faire,11
paquet,1
fric,1
tous,4
les,23
deux,14
rappelle,2
toi,14
juste,5
pour,18
qui,22
tu,63
bosses,1
t,11
as,7
dit,9
là,10
dis,6
qu,35
ils,19
doivent,2
savoir,2
bossent,1
parce,3
le,38
savent,2
pas,44
sont,8
cons,2
non,12
disais,1
comme,3
oh,4
d,28
accord,4
alors,7
donc,5
capte,1
moi,18
suis,15
con,2
que,48
fais,5
tuco,12
et,45
si,14
restait,1
calmes,2
heisenberg,3
il,50
faut,10
rester,1
calme,3
bordel,3
regarde,3
folie,1
bon,15
à,46
semaine,4
prochaine,1
prenant,1
compte,3
l,23
inflation,2
une,18
bonne,1
université,2
état,1
toujours,5
avec,14
fait,13
dollars,6
par,9
an,2
enfants,1
quatre,2
années,2
fac,1
reste,4
hypothèque,1
sur,8
maison,2
prêt,1
immobilier,1
amène,1
coût,1
vie,1
nourriture,1
vêtements,1
factures,1
disons,5
mois,1
devrait,5
bien,12
aider,1
faudrait,1
dure,2
ans,1
plus,13
voilà,4
combien,6
j,39
ai,23
besoin,6
chacun,1
ne,20
nous,12
laisse,3
semaines,1
demie,2
encore,4
ventes,1
drogue,2
dans,16
lieu,2
public,2
présent,1
faisable,2
lui,12
arrive,5
te,13
prend,2
cassage,1
gueule,2
trop,2
salope,1
merde,2
boucle,1
n,18
pouls,1
arrange,3
ambulance,1
hôpital,1
es,6
intelligent,1
tes,1
trucs,3
y,15
rien,6
souffle,2
sa,4
bouche,2
enseigné,1
marche,1
viens,1
débarrasse,1
laisser,3
ici,4
des,17
rapaces,1
rats,1
très,5
chrétien,1
discutes,1
mes,1
ordres,1
gonzo,5
bouge,2
pressés,1
partir,1
fini,4
crois,3
vous,22
quelqu,2
entendue,1
salut,4
peux,5
répondre,3
quand,3
appelle,4
vas,1
super,2
nouveau,5
chapeau,1
acheté,1
du,11
poulet,1
grillé,1
faisant,1
courses,1
veux,11
réchauffe,1
étais,3
où,9
sais,14
toute,4
cette,6
saleté,1
figure,1
me,10
débarbouiller,1
abord,2
walter,4
junior,5
rentrer,2
minute,2
suffit,1
arrête,3
peur,1
frustré,1
colère,1
injuste,1
défouler,1
rentré,1
morts,3
i,54
muerto,1
muerte,1
dites,2
chante,1
simple,1
hypothèse,4
oui,4
elle,14
aide,3
mon,8
reçu,1
au,8
moins,2
appels,2
hier,1
soir,3
sans,3
mot,1
raccroche,1
vu,2
grosse,1
voiture,1
noire,1
phares,1
éteints,1
quartier,1
s,14
voulait,1
tuer,2
aurait,1
casse,2
partez,1
principe,1
esprit,1
normal,1
sain,1
avez,3
battre,1
mort,2
type,5
aucune,1
raison,1
façon,1
fixer,1
disant,1
voulez,2
veut,5
dire,7
vais,3
exactement,1
yo,1
témoins,1
gênants,1
maintenant,5
doit,2
font,1
bonnes,1
amphéts,1
confiance,1
décide,1
ou,9
comprenez,1
comment,9
prendrais,2
détail,1
étape,2
organise,1
dernière,2
vente,2
butés,1
chaque,1
nouvelle,2
fournée,1
teste,1
produit,1
moment,2
tête,3
baissée,1
sniffe,2
trois,6
tirs,4
poitrine,1
arrêtez,1
essaie,2
comprendre,2
procéder,1
mettons,2
côté,4
gros,6
précipite,1
tournes,1
vers,1
droit,2
balles,3
costaud,1
tirer,1
fois,5
terre,1
habitude,2
accompagné,1
plusieurs,1
hommes,1
ses,3
dealers,3
son,4
gang,1
stade,1
eu,2
presque,1
arme,1
contient,2
suggérer,1
homme,1
arrives,1
même,3
ouvrir,1
flingue,3
facile,2
hein,2
appeler,1
skyler,5
bonjour,4
êtes,3
chez,5
walt,7
laissez,2
message,2
matinale,1
déjà,1
partie,1
hank,7
essayer,2
restaurant,3
traîner,2
entends,1
serait,1
fier,1
parle,1
argot,1
coup,3
chinois,4
envie,2
manger,2
ont,7
parfois,2
américain,1
sortent,1
achètent,1
plats,1
emporter,1
purée,1
pain,1
viande,1
essaient,1
utilise,1
couverts,1
demande,1
allez,5
répondu,1
absente,1
pourquoi,2
parlais,1
resto,1
dîne,1
restent,1
ouverts,1
tard,1
vois,6
dave,5
h,1
souviens,1
jeudi,2
certaine,1
changé,1
horaire,1
allaient,1
payer,1
supplément,1
bébé,4
six,1
séances,1
ferai,2
engagée,1
confonds,1
jours,2
attention,2
désolé,4
schrader,1
écoute,2
seulement,1
trouve,3
énormément,1
fil,1
frappe,1
plage,1
forêt,1
tape,1
gomez,1
police,1
albuquerque,1
envoyé,1
était,3
connais,2
southwest,1
aniline,1
route,2
cet,1
endroit,1
schlingue,1
putain,2
thermite,2
brûle,1
environ,1
degrés,1
genre,3
voit,1
james,1
bond,1
sympa,1
ces,8
types,1
connaissent,1
retire,1
pensé,1
voler,1
chariot,1
faites,1
rouler,1
abrutis,1
tonneau,1
roule,1
sang,4
pris,1
litres,2
méthylamine,1
p2p,1
fabriquent,1
ancienne,1
vétérans,1
prison,1
pseudoéphédrine,1
trouver,1
débrouillent,1
changeant,1
formule,2
connaître,1
chimie,2
niveau,1
cambriolage,1
arriveraient,1
introduire,1
aux,1
jeux,1
paralympiques,1
livres,1
rue,1
étudiants,1
veulent,1
récolter,1
précurseur,1
vont,1
empiéter,1
terrain,1
autres,1
intérêt,1
attraper,1
juárez,1
ta,2
fille,1
sortir,1
tôt,1
avant,2
sortes,1
affrontes,1
monde,2
rends,1
dois,3
atteindre,1
vite,1
téléphone,1
kilos,2
dus,1
ma,5
chérie,1
passé,1
nuit,2
dehors,1
enfin,6
entière,1
ah,3
avais,2
peu,2
mal,2
estomac,1
savais,1
allais,2
lever,1
arrêt,1
voulais,2
réveiller,1
saurait,1
habite,1
sûr,2
pouvait,1
donné,1
vrai,2
nom,2
adresse,3
soit,1
celui,1
leur,1
parlé,1
dû,4
renseigner,1
commence,1
affaires,1
moyens,1
sources,1
voyez,1
coincer,1
arrivera,2
apprend,1
beau,1
frère,1
agent,1
stups,1
dieu,4
regardez,2
cinq,1
trouvé,3
deuxième,2
doubler,1
nos,1
chances,1
mathématiquement,1
parlant,1
meilleure,1
idée,1
merci,2
white,1
graines,6
ricin,1
planter,1
pousser,1
haricot,1
magique,1
puis,2
grimper,1
enfuir,1
produisent,1
ricine,3
riz,1
poison,2
efficace,1
toxique,1
petite,1
dose,1
rater,1
cours,1
autopsie,1
touche,1
attendez,1
pouvez,1
vraiment,4
retirer,1
fin,1
servi,1
assassiner,1
journaliste,1
bulgare,1
kgb,1
avait,2
modifié,1
pointe,1
parapluie,1
mettre,2
petit,1
projectile,1
jambe,1
quantité,1
peine,2
grande,2
épingle,1
tué,3
moyen,1
administrer,1
après,2
adieu,1
dérange,2
entre,1
aurais,3
prévenir,1
passais,1
utile,1
assoie,1
dépend,1
venu,1
parler,1
marie,3
envoie,1
sûrement,2
parole,2
auto,1
protection,1
nanas,2
leurs,1
humeurs,1
conçois,1
mêle,1
autant,1
trou,1
balle,2
aimerais,2
rendes,1
service,1
répondant,1
prête,1
important,1
communication,1
sens,1
sky,2
plaît,4
crie,1
dessus,1
voleuse,1
vérité,1
diadème,1
offert,1
volé,1
bijouterie,1
gertrude,1
zachary,1
failli,1
arrêter,1
allée,1
rendre,2
refuse,2
reconnaître,1
excuser,1
su,1
jamais,2
courant,1
régler,1
problème,1
consulte,1
psy,1
traitement,1
terminé,1
montre,2
compréhensifs,1
soutienne,1
fond,1
soutien,1
femme,1
enceinte,1
bientôt,1
quadra,1
surprise,1
mari,1
